"","Country","WVS_IDV"
"1","AND",0.305594776282077
"2","ARG",-0.213734191891897
"3","AUS",0.623019000797312
"4","BGD",0.602328633441914
"5","ARM",-0.490067447091308
"6","BOL",0.704623326213547
"7","BRA",-0.267252429149533
"8","MMR",0.301139593244387
"9","CAN",0.591414412716574
"10","CHL",-0.0280882395755981
"11","CHN",0.451240656821561
"12","TWN",0.445271151946508
"13","COL",0.454169421731348
"14","CYP",0.038746798628255
"15","CZE",-0.466309858719747
"16","ECU",0.406856173918815
"17","ETH",-0.415922805415549
"18","DEU",1.08420633676734
"19","GRC",-0.799231078900441
"20","GTM",0.491231863025791
"21","HKG",0.0269160919901455
"22","IDN",0.61212106252389
"23","IRN",-0.013350568662175
"24","IRQ",-0.669677743216718
"25","JPN",-0.209720125574885
"26","KAZ",-0.553746162367228
"27","JOR",-0.452704521537648
"28","KEN",-0.305552965264783
"29","KOR",0.100363359638865
"30","KGZ",-0.460621011701541
"31","LBN",-0.800435849158243
"32","LBY",-0.660793814228969
"33","MAC",-0.088098834424234
"34","MYS",0.45790273162981
"35","MDV",0.0266120030911666
"36","MEX",0.681721645284336
"37","MNG",-0.04475268734227
"38","MAR",-0.29555692000216
"39","NLD",-0.323629986442129
"40","NZL",-0.0326712152150004
"41","NIC",0.369459155207644
"42","NGA",-0.605604983680711
"43","PAK",-0.307489579515363
"44","PER",0.722869988527312
"45","PHL",0.0638908757877692
"46","PRI",0.923906330191062
"47","ROU",0.168981973247793
"48","RUS",-0.877969756250079
"49","SRB",-0.573692108156188
"50","SGP",0.0984148575680955
"51","SVK",-0.585289896425781
"52","VNM",1.02552780512854
"53","ZWE",-0.0464520960545807
"54","TJK",-0.391145148915042
"55","THA",-0.148664737719789
"56","TUN",-0.196766324198111
"57","TUR",-0.698953155360493
"58","UKR",-0.84383772706639
"59","EGY",-1.06327653661526
"60","GBR",0.154669454235676
"61","USA",0.908109549093643
"62","URY",0.782476119173137
"63","VEN",0.0935783684284072
"64","NIR",0.213696989557092
